"Region","Country ","Country Full Name","company","Sector Focus","Description","City","Website"
"Europe","FRA","France","Siparex","Industry, B2B services, regional SMEs","Independent private equity group managing €4B, with strong regional networks and 9 offices.","Paris (and Lyon)","siparex.com"
"Europe","FRA","France","Bpifrance Capital Développement","All sectors incl. industry","State-backed investment arm with major support for French industry.","Paris",""
"Europe","FRA","France","UI Investissement","Industry, agrifood, healthcare","Highly active in regional industrial SMEs.","Paris",""
"Europe","FRA","France","Sparring Capital","Industry, B2B services","Focused on operational transformation in companies.","Paris",""
"Europe","FRA","France","Azulis Capital","Agrifood, light industry","Specialist in succession of family-run SMEs.","Paris",""
"Europe","FRA","France","Andera Expansion / Croissance","Health, industry, B2B tech","Provides growth and succession capital in mid-market firms.","Paris",""
"Europe","FRA","France","Capelia","French industrial SMEs","Invests in both minority and majority stakes.","Paris",""
"Europe","FRA","France","CICLAD","Industry, B2B distribution","Strong industry focus with expertise in succession projects.","Paris",""
"Europe","FRA","France","Momentum Invest","Service & industrial SMEs","Human-centered approach that integrates digital transformation.","Paris",""
"Europe","FRA","France","Naxicap Partners (Mid Cap)","Industry, health, services","specialist in  mid-cap.","",""
"Americas","BRA","Brazil","Vinci Partners (Growth / SME PE)","Industry, B2B services, agribusiness","One of the largest PE firms in Brazil, with a dedicated SME growth fund.","São Paulo","vinci.com.br"
"Americas","BRA","Brazil","SP Ventures","Agtech, food industry","Leading VC with strong focus on agricultural & industrial technologies (early & growth stage).","São Paulo","spventures.com.br"
"Americas","BRA","Brazil","Gávea Investimentos","Industry, infrastructure, services","Prominent mid-market private equity manager in industrial and service sectors.","Rio de Janeiro","gaveainvest.com.br"
"Americas","BRA","Brazil","DGF Investimentos","Industrial tech, logistics, SaaS","Growth equity firm emphasizing innovation and technology-driven SMEs.","São Paulo","dgf.com.br"
"Americas","BRA","Brazil","FIP Inseed (now KPTL)","Innovative industry, B2B tech","Merged into KPTL; very active in middle-market and tech-industrial SMEs.","São Paulo","kptl.com.br"
"Americas","BRA","Brazil","Bozano Investimentos","Healthcare, education, industrial services","Invests in SMEs focusing on growth and structural improvements; now part of Crescera Capital.","Rio de Janeiro","bozano.com.br / crescera.com"
"Americas","BRA","Brazil","Performa Investimentos","Light industry, B2B, operational turnaround","PE fund specialized in sustainability and operational transformation of SMEs.","São Paulo","performainvest.com.br"
"Americas","BRA","Brazil","BR Startups / MSW Capital","Industry 4.0, innovation, B2B","VC platform co-created with Microsoft, focused on innovative B2B & industrial 4.0 solutions.","São Paulo","mswcapital.com.br"
"Americas","BRA","Brazil","Stratus Group","Industry, distribution, energy","Classic PE fund with a strong focus on impact and SME growth.","São Paulo","stratusbr.com"
"Americas","BRA","Brazil","Itaú BBA (via PE funds)","Industry, agribusiness, logistics services","Investment division of Itaú Unibanco, one of Latin America’s largest banks, with PE activity.","São Paulo","itaubba.com.br"
"Europe","GBR","United Kingdom","LDC (Lloyds Development Capital)","Industry, engineering, B2B services","One of the UK leaders in mid-market private equity, supporting industrial SMEs and mid-caps.","London / Birmingham","ldc.co.uk"
"Europe","GBR","United Kingdom","Foresight Group","Industry, energy, manufacturing","Very active regional investor, with specific funds for sustainable growth & green industries.","London","foresightgroup.eu"
"Europe","GBR","United Kingdom","BGF (Business Growth Fund)","Industry, manufacturing, B2B tech","  presence; backs SMEs with high growth potential.","London","bgf.co.uk"
"Europe","GBR","United Kingdom","NVM Private Equity","Manufacturing, engineering, services","Focused on the North of England and traditional industrial businesses.","Newcastle","nvm.co.uk"
"Europe","GBR","United Kingdom","YFM Equity Partners","Light industry, engineering, B2B SaaS","Over 35 years investing in UK industrial SMEs and growth businesses.","Leeds / London","yfmep.com"
"Europe","GBR","United Kingdom","Graphite Capital","Industry, business services","Mid-market private equity investor with strong interest in industrial mid-caps.","London","graphitecapital.com"
"Europe","GBR","United Kingdom","Inflexion Private Equity","Industry, services, internationalisation","Supports mid-caps with international growth strategies in industrial and service sectors.","London","inflexion.com"
"Europe","GBR","United Kingdom","Growth Capital Partners (GCP)","Manufacturing, engineering, environment","Committed to sustainable growth and long-term development of UK industrial SMEs.","London","gcp.uk.com"
"Europe","GBR","United Kingdom","NorthEdge Capital","Heavy industry, healthcare, manufacturing","Focused on Northern England & Midlands, investing in strong regional industrial firms.","Manchester","northedge.com"
"Europe","GBR","United Kingdom","Key Capital Partners (KCP)","Industrial services, education, tech","Growth capital investor supporting expansion projects with high profitability in SMEs.","Leeds","keycapitalpartners.co.uk"
"Europe","ESP","Spain","Azca Capital","Industry, services, agrifood","One of the leaders in Spain’s mid-market PE, very active in industrial investments.","Madrid","azcacapital.com"
"Europe","ESP","Spain","MCH Private Equity","Manufacturing, logistics, healthcare","Extensive experience in industrial and export-driven businesses.","Madrid","mchpe.com"
"Europe","ESP","Spain","Portobello Capital","Industry, chemicals, B2B, internationalisation","Active across Spain, France, and Italy with strong industrial and cross-border focus.","Madrid","portobellocapital.es"
