Investor Name,Fund Type,Fund Stage,Website,Fund Focus (Sectors)
.406 Ventures,Venture Fund,Seed,www.406ventures.com,SoftwareCybersecurityHealthcareBig Data & Analytics
01 Advisors,Venture Fund,"Pre-SeedSeed,Series A",www.01a.com,"Cryptocurrency / BlockchainEntertainment & MediaSports,Artificial Intelligence & Machine Learning (AI/ML)FinTech,InsurTechBig Data & AnalyticsHospitalitySaaSTravel"
1/0 Capital,Venture Fund,"Series A Series B,Series CSeries D",www.onezerocapital.com,SoftwareMobileSaaSConsumerFinTech
1confirmation,Venture Fund,"SeedSeries A,Series B","http://www.1confirmation.com/",Cryptocurrency / BlockchainInformation Technology
2.12 Angels,Venture Fund,Seed,www.212angels.com,Developer ToolsProfessional Services
3ig Ventures,Venture Fund,"SeedSeries A,Series B","https://www.3igventures.com/","Cryptocurrency / BlockchainE-CommerceFinTech,HealthcareImpact Investing"
3L Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://www.3lcap.com/,"PropTechSoftwareEnterpriseLogisticsInsurTech,PrivacySaaSTransportationE-Commerce"
3Lines,Venture Fund,"Pre-SeedSeed,Series A",www.3lines.vc,"ClimateTech & CleanTechSoftwareEnergyIndustrials,ManufacturingDeveloper ToolsTransportation"
3one4 Capital,Venture Fund,"SeedSeries A,Series B","http://www.3one4capital.com/","MobileAppsEdTechFinTechSales Automation,Software"
3VC,Venture Fund,"SeedSeries A,Series B",https://www.three.vc/,"HealthcareArtificial Intelligence & Machine Learning (AI/ML),Medical DeviceCollaborationDeveloper ToolsSaaS,Professional Services"
4BIO Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.4biocapital.com,BioTechHealthcareLife ScienceMedical Device
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
4DX Ventures,Venture Fund,"Pre-SeedSeed,Series A","https://www.4dxventures.com","FinTechAppsSpaceTechTelecommunications (TMT),IoT (Internet of Things)"
5AM Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.5amventures.com,"BioTechLife Science Healthcare Advanced Materials,Consumer Electronics Hardware Industrials,Manufacturing Prop Tech IoT (Internet of Things)"
6th Man Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.6thman.ventures,Cryptocurrency / BlockchainSoftware
7BC Venture Capital,Venture Fund,SeedSeries A,https://7BC.VC,"Artificial Intelligence & Machine Learning (AI/ML),Cryptocurrency / BlockchainFinTechIoT (Internet of Things),SaaSTelecommunications (TMT)"
7percent Ventures,Venture Fund,"SeedSeries A,Series B",http://7pc.co,"AgTech (FarmTech)Food and BeveragePropTech,ClimateTech & CleanTechRoboticsConsumer Electronics,Entertainment & MediaInformation TechnologySoftware,Creator EconomySpaceTechBig Data & Analytics,IoT (Internet of Things)"
7thirty Capital,Venture Fund,"SeedSeries A,Series B",https://7thirtycapital.com/,"AgTech (FarmTech)CannabisEnterpriseSoftware,Supply Chain Tech"
7wire Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.7wireventures.com,"Elder CareHealthcareProfessional Services,Service IndustrySoftwareFinTechMedical Device,AppsHealth & WellnessMobileEdTech,Big Data & AnalyticsInformation TechnologyBioTech,HR Tech"
8VC,Venture Fund,"Pre-SeedSeed,Series A",www.8vc.com,"ManufacturingFinTechClimateTech & CleanTech,HealthcareEdTechInfrastructureMobilePropTech,SaaSTelecommunications (TMT)"
9Unicorns Accelerator Fund,Accelerator,"SeedSeries A,Series B",https://www.9unicorns.in/,"Consumer ElectronicsHealth & WellnessConsumer,FinTech"
9Yards Capital,Venture Fund,"Series BSeries C,Series D",www.9yardscapital.com,"Manufacturing B2B FinTech Healthcare,Micro-Mobility SaaSSupply Chain Tech,Telecommunications (TMT)"
10Branch,Family Office,Series B Series C,http://www.10branch.com,"FinTechSaaSCryptocurrency / Blockchain,Advertising (AdTech)Big Data & AnalyticsPropTech,Manufacturing,Artificial Intelligence & Machine Learning (AI/ML)Apps,Augmented & Virtual Reality (AR/VR)Developer Tools,AgTech (FarmTech)AudioTechB2CBeautyB2B,BioTechBlack / African American FoundedCannabis,ClimateTech & CleanTechProductivity ToolsCloudTech,Cloud SecurityConstruction Tech,Communications InfrastructureConsumerCPG,Consumer InternetCreator EconomyCRMHardware,CybersecurityWearables & Quantified Self,Customer ServiceD2CDeepTechHealthcare,Entertainment & MediaE-CommerceEdTechHR Tech,EnergyEnterpriseE-Sports (Gaming)EventsFemTech,Food and BeverageRestaurantTechFuture of Work,GovTechImpact InvestingInformation Technology,InfrastructureInsurTechInternetIoT (Internet of Things),Telecommunications (TMT)MobileLegal Tech,Life ScienceMarketing (MarTech)LogisticsMarketplace,Meeting SoftwareMicro-MobilityNetwork Security,NeuroscienceOil & GasTravelPaaS (Platforms),PetTechPharmaceuticalsRecruitingRetailTech,RoboticsSales AutomationRidesharing,Sharing EconomySocial MediaSportsSupply Chain Tech,SustainabilityWomen-FoundedTransportation,SpaceTechSoftware"
10T Holdings,Venture Fund,Series CSeries D,www.10tfund.com,Cryptocurrency / Blockchain
10X Capital,Venture Fund,Series CSeries D,www.10xcapital.com,Big Data & AnalyticsFinTechMarketplaceHealthcare
10x Group,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://10x.group/,"E-CommerceMarketplaceHospitalityTravel,ConsumerFinTechRetailTech"
10x Value Partners,Venture Fund,"SeedSeries A,Series B",http://10xvaluepartners.com/,E-Commerce
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
12/12 Ventures,Venture Fund,"SeedSeries A,Series B",https://www.1212.vc,CannabisInformation TechnologySaaSSoftware
14W,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.14w.com,"Artificial Intelligence & Machine Learning (AI/ML),Entertainment & MediaSoftwareE-CommerceFashion,ManufacturingBeautyHealthcareRetailTech"
40 North Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.40northventures.com,SoftwareMobileSaaSConsumerFinTech
43North,Accelerator,"SeedSeries A,Series B",http://www.43north.org/,EventsPropTechFinTechE-CommerceMarketplace
75 & Sunny,Venture Fund,"SeedSeries A,Series B",http://75andsunny.vc,"Big Data & AnalyticsHR TechSoftware,Advertising (AdTech)PropTechTravelSpaceTech,ClimateTech & CleanTechEnergy"
83North,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.83north.com,"Big Data & AnalyticsInformation Technology,Artificial Intelligence & Machine Learning (AI/ML)Software,CloudTechHR TechSaaSEnterpriseComputer,CybersecurityB2BEntertainment & Media,Marketing (MarTech)Advertising (AdTech)Developer Tools,InfrastructureAppsFinTechPropTech"
111° West Capital,Venture Fund,"SeedSeries A,Series BSeries C",https://111westcapital.com/,BioTechHealthcarePharmaceuticals
137 Ventures,Venture Fund,"Series ASeries B,Series C",www.137ventures.com,SoftwareDeepTech
408 Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.408ventures.com,SoftwareMobileSaaSConsumerFinTech
468 Capital,Venture Fund,SeedSeries A,https://www.468cap.com/,"Cryptocurrency / BlockchainInformation Technology,Artificial Intelligence & Machine Learning (AI/ML)CloudTech,Big Data & AnalyticsCollaborationAppsSoftware,Legal TechEdTechFinTechIoT (Internet of Things)"
500 Global,Venture Fund,"Pre-SeedSeed,Series A",www.500.co,"AgTech (FarmTech)AudioTechBig Data & Analytics,E-CommerceFinTechIoT (Internet of Things)Mobile,SaaSTelecommunications (TMT)"
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
500 Startups,Venture Fund,"SeedSeries A,Series B",http://500.co,"FinTechHealthcareInformation Technology,Marketing (MarTech)SaaSSales AutomationSoftware,B2BCollaborationEnterpriseEnergy,ClimateTech & CleanTechTravelDeliveryE-Commerce,Food and BeverageCloudTechApps,Entertainment & MediaDeveloper ToolsPaaS (Platforms),Productivity ToolsComputerInsurTechCannabis,ConsumerMarketplaceCRMCommunityB2C,CybersecurityBeautyMobileRetailTech,Artificial Intelligence & Machine Learning (AI/ML),Big Data & AnalyticsBioTechMedical Device,PharmaceuticalsParentingAdvertising (AdTech),TransportationPoS (Point of Sale)PropTechEdTech,HR TechIoT (Internet of Things)Customer Service,Health & WellnessHardwareWearables & Quantified Self,Service IndustryQuality AssuranceConsumer Goods,Emerging MarketsE-Sports (Gaming)Creator Economy,Life ScienceFashionLegal TechProfessional Services,LogisticsMarket Research,Augmented & Virtual Reality (AR/VR),Cryptocurrency / BlockchainInfrastructureEvents,FemTechManufacturingRisk Management,AgTech (FarmTech)RoboticsSportsRestaurantTech,SpaceTechTelecommunications (TMT)"
500 Startups Japan,Venture Fund,"Pre-SeedSeed,Series A",www.500startups.jp,SoftwareMobileSaaSConsumerFinTech
500 Startups Vietnam,Venture Fund,Seed,http://vietnam.500.co/,"HealthcareLife ScienceWearables & Quantified Self,FinTechSoftware"
640 Oxford Ventures,Venture Fund,"SeedSeries A,Series B","https://www.640oxfordventures.com/",ConsumerB2B
645 Ventures,Venture Fund,SeedSeries A,www.645ventures.com,SaaSInfrastructureConsumer
840 Venture Partners,Venture Fund,"Series ASeries B,Series C",https://840vp.com/,FinTechFuture of WorkBig Data & Analytics
1414 Ventures,Venture Fund,Pre-SeedSeed,"https://www.1414ventures.com/",CybersecurityFinTechSoftware
1517 Fund,Venture Fund,"Pre-SeedSeed,Series A",www.1517fund.com,"HardwareManufacturingSoftware,Artificial Intelligence & Machine Learning (AI/ML),E-CommerceMarketplaceRetailTech,ClimateTech & CleanTechLogisticsSupply Chain Tech,SpaceTechConsumerFashionCloudTechFinTech"
1809 Capital,Venture Fund,"Series BSeries C,Series D","https://www.1809capital.com/",Healthcare
1843 Capital,Venture Fund,"SeedSeries A,Series B",http://1843capital.com,"Elder CareHR TechHealthcareInformation Technology,Health & WellnessCloudTechCybersecuritySaaS"
1863 Ventures,Venture Fund,Pre-SeedSeed,https://1863ventures.net/,"BeautyHealthcareE-CommerceEdTechFinTech,RestaurantTechHR TechImpact Investing"
1984 Ventures,Venture Fund,"SeedSeries A,Series B",http://1984.vc,"PropTechInformation TechnologyMobileSaaS,SoftwareHR TechHealthcareConsumerLogistics,Supply Chain TechComputerFinTech,Big Data & AnalyticsDeveloper ToolsDelivery,Food and Beverage,Artificial Intelligence & Machine Learning (AI/ML),Medical DeviceEnterpriseProductivity Tools"
2048 Ventures,Venture Fund,"SeedSeries A,Series B",https://www.2048.vc,"Artificial Intelligence & Machine Learning (AI/ML),E-CommerceMarketplaceRetailTech,ClimateTech & CleanTechBig Data & AnalyticsB2BSaaS,SoftwareDeveloper ToolsFinTechConsumer,Information TechnologyFood and BeverageHealthcare,Marketing (MarTech)Entertainment & Media,Creator EconomyCustomer ServiceHospitality,RestaurantTech"
2150,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://2150.vc,"Big Data & AnalyticsDeveloper ToolsFinTechGovTech,SaaSIoT (Internet of Things)BioTechAdvanced Materials,Industrials"
8090 Partners,Venture Fund,"Pre-SeedSeed,Series A",www.8090partners.com,SoftwareMobileSaaSConsumerFinTech
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
A Capital,Venture Fund,SeedSeries A,www.acapital.com,ConsumerEnterpriseSoftware
A-Level Capital,Venture Fund,Seed,www.alevelcapital.com,SoftwareMobileSaaSConsumerFinTech
A. M. Pappas & Associates,Venture Fund,"Pre-SeedSeed,Series A",www.ampappas.com,SoftwareMobileSaaSConsumerFinTech
A.Capital Ventures,Venture Fund,"SeedSeries A,Series B",http://www.acapital.com,"Artificial Intelligence & Machine Learning (AI/ML)Robotics,SoftwareBig Data & AnalyticsCRM,Information TechnologySaaSSales AutomationB2B,Developer ToolsConsultingMobileCloudTech,FinTechHealth & WellnessHealthcareInsurTech,Cryptocurrency / BlockchainClimateTech & CleanTech,E-CommerceEntertainment & MediaApps,TransportationComputerCybersecurity"
A'Z Angels,Venture Fund,"Pre-SeedSeed,Series A",www.azangels.vc,SoftwareMobileSaaSConsumerFinTech
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
